event_id,gamma_track_id,scatter_x_mm,scatter_y_mm,scatter_z_mm,absorber_x_mm,absorber_y_mm,absorber_z_mm,scatter_energy_keV,absorber_energy_keV,total_energy_keV,incident_energy_keV,computed_theta_deg,geometric_theta_source_deg,arm_source_deg,scatter_sector,absorber_sector,scatter_pixel,absorber_pixel,delta_time
755508,671,36.25650780388075,-21.845157848528313,6.86640525463479,40.3618945120754,-48.07769095942437,2.737495226214381,107.96771821827794,304.1280772770782,412.0957954953561,440.446,51.44644281325054,52.99467387593949,-1.5482310626889486,7,7,62,20,0.0
762936,699,-33.09578600056089,-25.520673739167755,-1.7101042878650392,-41.299802859103345,-53.359778137794606,-7.2964309594658845,62.7345058474042,344.0478144322815,406.7823202796857,440.446,36.16668447892775,36.672336140906154,-0.5056516619784048,5,5,19,49,0.0
765983,715,38.867264116491334,-2.802968641514183,-10.111087933399892,63.76264401085025,10.997131083341344,-2.7412270328269717,92.05306182603998,311.00600427828743,403.0590661043274,440.446,46.09588383455035,43.79639560574617,2.2994882288041794,0,0,24,59,0.0
771503,701,-27.762777058370805,30.313933430767413,2.577795677452807,-53.820559347807915,40.75970030431504,4.4144371264757085,32.363985134624855,364.9377989509575,397.3017840855823,440.446,24.771152640220258,25.617941394536707,-0.8467887543164494,3,3,28,53,0.0625
772195,674,-1.0865182422548416,38.75911263539448,-5.0965192625407045,-0.710375562856608,66.14450109536824,5.640575559241489,44.84218200703881,354.93853893712765,399.78072094416643,440.446,29.71617968926543,28.99034941054221,0.7258302787232225,2,2,34,37,0.0
776952,704,-27.439924913899272,29.35198885707581,4.740257900870968,-54.13620001671351,38.24420793447768,11.846345196569926,39.92345540650383,361.34245563750886,401.2659110440127,440.446,27.827801777294805,28.974311401613114,-1.146509624318309,3,3,29,63,0.0625
792514,704,30.716795154350873,-22.859491483376726,4.448042871059774,46.03242425805925,-48.446169142402304,5.080661816781269,29.156897802571336,363.4705931815487,392.62749098412,440.446,23.400272347463627,23.022728719619774,0.37754362784385265,7,7,45,29,0.125
792706,717,22.926222980391756,32.924679431159454,-4.1407306191705295,39.59227506086332,49.463885525905745,-10.728609695903952,10.512239377992044,374.02337635063174,384.5356157286238,440.446,13.679813626513386,14.110569429706224,-0.430755803192838,1,1,50,48,0.0
794293,752,-23.2226214796597,-32.93785277532408,-3.6082450227978438,2.6695400966159295,-70.31357891080823,4.118175579409653,140.85217096414198,270.3015189851514,411.1536899492934,440.446,62.96426408972783,71.18296668932771,-8.218702599599887,5,6,50,37,0.09375
794897,772,7.44504976673283,-38.821061142246265,-7.406147832557817,41.14218159885603,-49.43602021477494,-3.6397920389564544,132.4668278493878,276.54989385378246,409.0167217031703,440.446,59.934775473999174,63.61169911962569,-3.676923645626516,6,7,49,18,0.0
